Date,Name,Amount,Note
2026-05-15,Nguyễn Văn A,5000000,Ủng hộ xây dựng nhà thờ
2026-05-18,Trần Thị B,10000000,Gia đình anh chị B đóng góp
2026-05-20,Phạm Minh C,2000000,Kính dâng
2026-05-22,Lê Hoàng D,1500000,Cầu bình an cho gia đình
2026-05-28,Anonymous,500000,Khuyết danh
2026-06-01,Hội Dòng Đức Mẹ,20000000,Đóng góp đợt 1
2026-06-03,Ngô Thanh E,3000000,Xin Chúa chúc lành cho công trình
2026-06-04,Trần Văn F,1000000,Ủng hộ quỹ
2026-06-05,Vũ Thị G,5000000,Kính tặng nhà thờ mới
2026-06-06,Phan Văn H,2500000,Đóng góp xây dựng
2026-06-07,Bùi Minh I,12000000,Ủng hộ hoàn thiện mặt tiền
2026-06-08,Nguyễn Văn J,800000,Ủng hộ quỹ gạch ngói
